Complexity,Loss,Equation
1,101.14807,"-2.2036092"
3,40.365936,"x3 * -4.0468826"
5,20.214417,"(x3 * -4.037382) + x0"
7,3.9983296,"(x0 + (x3 * -1.3348874)) * 3.0098495"
9,2.4923824e-13,"((x0 * 3.0) + (x3 * -4.0)) + -2.0"
11,2.4923518e-13,"((x3 * -4.0) + (x0 + (x0 + x0))) + -2.0"
13,2.4582487e-13,"((x3 * -4.0) + ((x0 + (x0 + x0)) + -0.6041851)) + -1.3958149"
21,2.456207e-13,"((x0 + (x0 + x0)) + (x3 * -4.0)) + (((x0 + x0) * (x1 * (x3 * -3.4909005e-9))) + -2.0)"
25,2.4528814e-13,"((((((x0 * x1) * x3) + -1.518654) + (x3 * -1.1880698)) * -4.2883723e-9) + -2.0) + ((x3 * -4.0) + ((x0 + x0) + x0))"
