Complexity,Loss,Equation
1,69.810394,"x0"
3,41.64308,"x3 * -3.351181"
5,21.478893,"x0 + (x3 * -3.5113518)"
7,3.791474,"(x0 + (x3 * -1.2205427)) * 3.1603675"
9,1.9356294e-13,"((x0 * 3.0) + (x3 * -4.0)) + -2.0"
11,1.6206814e-13,"((x0 * 3.0) + ((x3 * -4.0) + -0.66330534)) + -1.3366946"
15,1.5958789e-13,"-0.2010863 + (((x0 + (x0 + -1.2576709)) + (x0 + -0.54124284)) + (x3 * -4.0))"
